Wk,Day,Date,Time,Home,xHomeGoals,HomeScore,AwayScore,xAwayGoals,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,20:30 (14:30),Bayern Munich,2.7,2,2,0.9,Hertha BSC,75000,Allianz Arena,Harm Osmers,Match Report,
1,Sat,2019-08-17,15:30 (09:30),Dortmund,2.4,5,1,0.7,Augsburg,81365,Signal Iduna Park,Frank Willenborg,Match Report,
1,Sat,2019-08-17,15:30 (09:30),Leverkusen,2.7,3,2,1.2,Paderborn 07,26208,BayArena,Tobias Stieler,Match Report,
1,Sat,2019-08-17,15:30 (09:30),Freiburg,2.1,3,0,0.9,Mainz 05,24000,Schwarzwald-Stadion,Robert Hartmann,Match Report,
1,Sat,2019-08-17,15:30 (09:30),Werder Bremen,2.4,1,3,0.9,Düsseldorf,42100,Weserstadion,Felix Zwayer,Match Report,
1,Sat,2019-08-17,15:30 (09:30),Wolfsburg,0.8,2,1,1.0,Köln,25099,Volkswagen Arena,Sven Jablonski,Match Report,
1,Sat,2019-08-17,18:30 (12:30),M'gladbach,1.6,0,0,0.7,Schalke 04,54022,Stadion im Borussia-Park,Felix Brych,Match Report,
1,Sun,2019-08-18,15:30 (09:30),Eint Frankfurt,1.2,1,0,0.6,Hoffenheim,50200,Commerzbank-Arena,Daniel Siebert,Match Report,
1,Sun,2019-08-18,18:00 (12:00),Union Berlin,0.6,0,4,3.2,RB Leipzig,22467,Stadion An der Alten Försterei,Markus Schmidt,Match Report,
2,Fri,2019-08-23,20:30 (14:30),Köln,0.8,1,3,1.7,Dortmund,50000,RheinEnergieSTADION,Christian Dingert,Match Report,
2,Sat,2019-08-24,15:30 (09:30),Paderborn 07,1.7,1,3,2.1,Freiburg,14322,Benteler-Arena,Tobias Welz,Match Report,
2,Sat,2019-08-24,15:30 (09:30),Mainz 05,1.2,1,3,1.5,M'gladbach,28005,Opel Arena,Martin Petersen,Match Report,
2,Sat,2019-08-24,15:30 (09:30),Hoffenheim,0.7,3,2,1.2,Werder Bremen,27333,PreZero Arena,Sascha Stegemann,Match Report,
2,Sat,2019-08-24,15:30 (09:30),Düsseldorf,1.0,1,3,1.8,Leverkusen,44538,Merkur Spielarena,Patrick Ittrich,Match Report,
2,Sat,2019-08-24,15:30 (09:30),Augsburg,1.5,1,1,1.1,Union Berlin,27703,WWK Arena,Robert Schröder,Match Report,
2,Sat,2019-08-24,18:30 (12:30),Schalke 04,0.9,0,3,1.6,Bayern Munich,62271,Veltins-Arena,Marco Fritz,Match Report,
