,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Augsburg,28,6110,8699,70.2,128636,51368,137,412,33.3,4267,5251,81.3,1706,3036,56.2,25,33.9,-8.9,184,411,134,35,856
Bayern Munich,24,15716,18265,86.0,312806,96841,192,524,36.6,11605,12751,91.0,3919,4990,78.5,58,64.4,-6.4,359,1337,386,102,1755
Dortmund,25,15128,17552,86.2,277201,80730,245,577,42.5,11746,12871,91.3,3137,4104,76.4,59,45.0,+14.0,265,931,258,45,1244
Düsseldorf,28,8009,10567,75.8,178060,64493,128,401,31.9,5297,6324,83.8,2584,3842,67.3,20,25.0,-5.0,212,614,170,63,1037
Eint Frankfurt,27,8130,11000,73.9,169066,65135,150,492,30.5,5734,6930,82.7,2246,3578,62.8,29,34.7,-5.7,257,678,194,90,1206
Freiburg,26,8992,11520,78.1,191198,65286,150,447,33.6,6213,7183,86.5,2629,3890,67.6,19,31.3,-12.3,225,625,175,71,1020
Hertha BSC,30,8387,10921,76.8,175574,64793,164,476,34.5,5908,6907,85.5,2315,3538,65.4,25,28.0,-3.0,197,599,132,56,907
Hoffenheim,29,10884,13406,81.2,213712,73605,158,446,35.4,8153,9156,89.0,2573,3804,67.6,24,34.2,-10.2,235,672,194,62,1082
Köln,27,8089,10698,75.6,175218,67477,109,371,29.4,5467,6525,83.8,2513,3802,66.1,31,35.9,-4.9,233,605,203,61,1070
Leverkusen,23,13947,16642,83.8,272797,83128,232,570,40.7,10328,11481,90.0,3387,4591,73.8,37,42.9,-5.9,294,831,191,47,1285
M'gladbach,22,10197,12749,80.0,204863,70996,173,469,36.9,7367,8501,86.7,2657,3779,70.3,40,48.8,-8.8,247,647,205,50,1208
Mainz 05,24,7417,10050,73.8,154188,59055,142,414,34.3,5163,6186,83.5,2112,3450,61.2,26,32.9,-6.9,242,593,172,49,994
Paderborn 07,25,8498,11048,76.9,176976,63168,128,472,27.1,6022,7069,85.2,2348,3507,67.0,23,29.0,-6.0,214,587,120,33,969
RB Leipzig,27,11817,14466,81.7,220880,76804,250,621,40.3,8995,10190,88.3,2572,3655,70.4,41,51.5,-10.5,301,903,267,53,1367
Schalke 04,27,9300,11848,78.5,191624,64031,150,468,32.1,6550,7575,86.5,2600,3805,68.3,21,29.0,-8.0,204,624,189,38,1116
Union Berlin,25,6966,9849,70.7,149236,65387,140,428,32.7,4740,5903,80.3,2086,3518,59.3,20,30.6,-10.6,200,612,142,61,912
Werder Bremen,30,9256,11767,78.7,185298,64369,140,467,30.0,6755,7784,86.8,2361,3516,67.2,19,29.0,-10.0,227,678,185,51,1120
Wolfsburg,24,8719,11620,75.0,184658,68481,170,503,33.8,5989,7198,83.2,2560,3919,65.3,24,35.2,-11.2,255,684,185,57,1250
