,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Augsburg,28,36,3,4,268,96,17,35.8,10.72,3.84,0.12,0.34,33.9,30.8,0.12,+2.1,+2.2
Bayern Munich,24,72,4,4,467,182,10,39.0,18.68,7.28,0.15,0.37,64.4,61.3,0.13,+7.6,+6.7
Dortmund,25,68,2,2,344,145,9,42.2,13.76,5.80,0.19,0.46,45.0,43.7,0.13,+23.0,+22.3
Düsseldorf,28,27,3,3,308,87,17,28.2,12.32,3.48,0.08,0.28,25.0,22.8,0.08,+2.0,+1.2
Eint Frankfurt,27,36,1,1,352,125,13,35.5,14.67,5.21,0.10,0.28,34.7,33.9,0.10,+1.3,+1.1
Freiburg,26,32,5,6,323,97,20,30.0,12.92,3.88,0.08,0.28,31.3,26.8,0.09,+0.7,+0.2
Hertha BSC,30,31,1,1,270,83,10,30.7,10.80,3.32,0.11,0.36,28.0,27.2,0.10,+3.0,+2.8
Hoffenheim,29,34,2,2,313,106,17,33.9,12.52,4.24,0.10,0.30,34.2,32.7,0.11,-0.2,-0.7
Köln,27,38,0,0,326,116,18,35.6,13.04,4.64,0.12,0.33,35.9,35.9,0.11,+2.1,+2.1
Leverkusen,23,42,1,1,384,148,3,38.5,15.36,5.92,0.11,0.28,42.9,42.2,0.11,-0.9,-1.2
M'gladbach,22,48,2,4,336,139,12,41.4,13.44,5.56,0.14,0.33,48.8,45.7,0.14,-0.8,+0.3
Mainz 05,24,32,2,2,333,105,8,31.5,13.32,4.20,0.09,0.29,32.9,31.4,0.10,-0.9,-1.4
Paderborn 07,25,30,1,3,307,102,14,33.2,12.28,4.08,0.09,0.28,29.0,26.7,0.09,+1.0,+2.3
RB Leipzig,27,62,5,5,396,151,17,38.1,15.84,6.04,0.14,0.38,51.5,48.0,0.13,+10.5,+9.0
Schalke 04,27,30,1,1,291,97,8,33.3,11.64,3.88,0.10,0.30,29.0,28.3,0.10,+1.0,+0.7
Union Berlin,25,30,4,5,302,98,3,32.5,12.08,3.92,0.09,0.27,30.6,26.8,0.09,-0.6,-0.8
Werder Bremen,30,25,3,5,305,95,6,31.1,12.71,3.96,0.07,0.23,29.0,25.4,0.09,-4.0,-3.4
Wolfsburg,24,34,3,3,341,117,6,34.3,13.64,4.68,0.09,0.26,35.2,32.9,0.10,-1.2,-1.9
