,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG
Augsburg,28,387,15.48,262,46,27,22,30,54,2.16,39,2,3,3,7,0
Bayern Munich,24,759,30.36,595,55,43,37,28,131,5.24,103,4,12,4,7,1
Dortmund,25,561,22.44,423,48,40,34,16,122,4.88,100,5,10,6,1,0
Düsseldorf,28,455,18.20,308,53,37,20,37,44,1.76,32,5,3,1,3,0
Eint Frankfurt,27,533,22.21,368,58,40,36,29,63,2.62,36,9,5,11,0,2
Freiburg,26,497,19.88,334,64,30,26,41,51,2.04,26,5,6,3,9,2
Hertha BSC,30,412,16.48,286,46,31,21,26,53,2.12,35,5,5,4,2,2
Hoffenheim,29,485,19.40,327,60,34,29,34,50,2.00,31,7,3,6,2,1
Köln,27,497,19.88,341,59,35,28,33,64,2.56,38,6,7,7,5,1
Leverkusen,23,593,23.72,436,62,43,35,14,80,3.20,58,5,8,4,2,3
M'gladbach,22,526,21.04,372,47,41,24,41,80,3.20,57,7,5,4,6,1
Mainz 05,24,503,20.12,360,55,41,16,29,58,2.32,40,4,5,4,3,2
Paderborn 07,25,465,18.60,324,45,44,25,27,48,1.92,33,3,4,6,2,0
RB Leipzig,27,642,25.68,479,51,43,39,30,98,3.92,64,7,13,8,6,0
Schalke 04,27,443,17.72,306,50,32,25,27,54,2.16,39,3,5,1,3,3
Union Berlin,25,417,16.68,283,51,31,30,20,51,2.04,27,7,3,7,5,2
Werder Bremen,30,475,19.79,336,46,34,33,24,46,1.92,27,3,3,7,4,2
Wolfsburg,24,532,21.28,367,65,42,30,28,54,2.16,37,2,7,4,4,0
