wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
1,1,0,0.5,0.9,206d90db,11,2,795,85.7,0,2b390eca,11,5,392,68.0,1,Athletic Club,Barcelona
1,1,3,1.0,1.5,53a2f082,16,11,554,82.5,3,f25da7fb,7,3,658,87.3,1,Celta Vigo,Real Madrid
1,1,1,2.2,1.3,e31d1cd9,8,2,757,87.3,0,dcc91a7b,12,6,502,79.9,1,Valencia,Real Sociedad
1,2,1,1.6,0.7,bea5c710,11,5,635,80.3,0,2aa12281,15,2,443,70.2,1,Mallorca,Eibar
1,4,4,1.5,2.0,a0435291,13,7,502,78.9,2,2a8183b3,10,5,589,82.2,3,Villarreal,Granada
1,0,1,1.1,0.2,03c57e2b,4,2,480,72.1,1,7c6f2c78,12,3,495,70.4,0,Leganés,Osasuna
1,1,0,0.4,0.6,9800b6a1,14,3,610,79.6,0,8d6fd021,8,2,422,68.1,1,Alavés,Levante
1,0,2,0.2,1.3,ad2be733,11,4,645,82.9,1,a8661628,7,2,556,80.6,0,Espanyol,Sevilla
1,1,2,1.0,0.7,17859612,14,3,553,83.3,2,fc536746,12,5,520,83.7,1,Betis,Valladolid
1,1,0,1.7,0.4,7848bd64,6,0,429,74.9,0,db3b9613,4,4,542,82.0,1,Atlético Madrid,Getafe
2,0,1,0.6,0.7,ad2be733,10,6,623,81.0,0,a0435291,14,1,538,75.5,0,Granada,Sevilla
2,2,1,2.0,2.8,2a8183b3,23,6,552,82.4,1,9800b6a1,14,2,519,78.8,0,Levante,Villarreal
2,0,0,0.5,0.7,bea5c710,12,0,470,62.4,0,03c57e2b,6,1,445,58.1,0,Osasuna,Eibar
2,1,1,1.2,0.7,17859612,8,2,433,73.8,1,53a2f082,22,5,794,88.9,1,Real Madrid,Valladolid
2,1,1,0.3,0.3,2b390eca,4,2,536,70.6,1,7848bd64,6,1,476,57.4,1,Getafe,Athletic Club
2,1,0,1.8,1.0,dcc91a7b,10,1,554,81.8,0,f25da7fb,11,5,651,84.5,1,Celta Vigo,Valencia
2,0,0,0.5,0.1,a8661628,3,1,733,83.9,0,8d6fd021,9,2,484,74.6,0,Alavés,Espanyol
2,0,1,0.9,1.4,e31d1cd9,12,4,714,85.5,1,2aa12281,14,4,442,73.2,0,Mallorca,Real Sociedad
2,0,1,0.4,1.1,db3b9613,6,4,657,78.7,1,7c6f2c78,8,3,503,66.8,0,Leganés,Atlético Madrid
2,5,2,1.8,0.2,fc536746,4,3,474,78.8,1,206d90db,21,7,940,90.2,5,Barcelona,Betis
3,1,1,1.4,0.5,f25da7fb,2,1,485,80.1,1,ad2be733,17,5,727,85.3,1,Sevilla,Celta Vigo
3,2,0,0.8,0.2,e31d1cd9,2,2,620,81.7,0,2b390eca,15,5,452,73.4,2,Athletic Club,Real Sociedad
3,2,2,1.6,0.4,206d90db,8,4,883,86.3,2,03c57e2b,14,4,400,62.7,1,Osasuna,Barcelona
3,2,0,1.8,0.9,17859612,14,3,496,75.3,0,9800b6a1,15,3,511,76.5,0,Levante,Valladolid
3,1,1,1.1,0.9,8d6fd021,5,1,415,59.8,0,7848bd64,14,1,568,70.2,1,Getafe,Alavés
3,2,1,1.5,1.2,7c6f2c78,19,7,367,62.9,0,fc536746,16,5,657,81.7,2,Betis,Leganés
3,2,0,2.2,1.2,2aa12281,12,1,593,85.9,0,dcc91a7b,9,3,582,84.6,0,Valencia,Mallorca
3,3,2,1.8,0.5,bea5c710,5,2,457,70.4,1,db3b9613,7,3,596,76.9,2,Atlético Madrid,Eibar
3,0,3,1.0,1.3,a0435291,13,5,434,67.8,1,a8661628,15,3,768,85.3,0,Espanyol,Granada
3,2,2,1.5,1.7,53a2f082,16,5,715,86.2,2,2a8183b3,8,5,583,80.9,1,Villarreal,Real Madrid
4,0,0,1.6,1.3,2b390eca,9,4,485,76.9,0,2aa12281,8,1,470,71.7,0,Mallorca,Athletic Club
4,3,2,2.7,0.7,9800b6a1,7,3,477,77.3,2,53a2f082,24,11,797,87.8,3,Real Madrid,Levante
4,0,3,0.6,0.9,2a8183b3,6,3,616,81.0,2,7c6f2c78,11,4,593,79.4,0,Leganés,Villarreal
4,2,0,1.4,0.9,db3b9613,11,2,546,77.4,0,e31d1cd9,13,4,611,80.8,1,Real Sociedad,Atlético Madrid
4,5,2,2.0,1.3,dcc91a7b,9,4,532,85.2,2,206d90db,17,10,885,90.8,4,Barcelona,Valencia
4,1,2,0.6,1.5,a8661628,7,2,446,60.2,1,bea5c710,11,1,542,71.7,1,Eibar,Espanyol
