wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
1,0,1,0.4,1.3,e0652b02,14,4,671,84.5,1,eab4234c,9,3,456,77.8,0,Parma,Juventus
1,3,4,1.7,2.1,d48ad4ff,14,5,656,84.2,3,421387cf,19,5,542,82.0,2,Fiorentina,Napoli
1,1,0,1.0,0.6,dc56fe14,13,0,672,86.5,0,04eea015,19,6,507,78.7,1,Udinese,Milan
1,3,3,1.9,1.2,658bf2de,5,3,536,83.0,2,cf74a709,23,9,583,82.6,2,Roma,Genoa
1,2,3,1.7,1.6,922493f3,22,13,635,77.8,2,1d2fe027,9,3,488,72.7,2,SPAL,Atalanta
1,2,1,1.2,1.6,e2befd26,20,9,673,83.1,0,105360fe,12,5,443,69.2,2,Torino,Sassuolo
1,1,1,0.1,1.5,1d8099f8,15,1,737,85.5,0,0e72edf2,5,2,344,59.0,0,Hellas Verona,Bologna
1,0,3,0.7,2.3,7213da33,19,10,597,81.8,2,8ff9e3b3,16,7,599,82.6,0,Sampdoria,Lazio
1,0,1,1.0,1.6,4ef57aeb,9,1,527,66.3,0,c4260e09,14,4,671,75.7,0,Cagliari,Brescia
1,4,0,1.7,0.7,ffcbe334,16,2,495,80.8,0,d609edc0,24,7,704,87.5,3,Inter,Lecce
2,1,0,3.0,0.8,1d2fe027,8,1,480,72.5,0,1d8099f8,22,8,620,80.9,1,Bologna,SPAL
2,1,0,1.5,0.7,4ef57aeb,6,1,474,71.1,0,dc56fe14,16,4,698,85.4,1,Milan,Brescia
2,4,3,1.6,1.3,d48ad4ff,17,7,681,87.1,3,e0652b02,12,7,566,84.6,2,Juventus,Napoli
2,1,1,1.9,1.3,cf74a709,10,0,527,81.1,0,7213da33,22,7,527,83.6,1,Lazio,Roma
2,0,1,1.2,1.5,0e72edf2,14,4,614,80.3,1,ffcbe334,16,3,601,81.7,0,Lecce,Hellas Verona
2,4,1,1.7,1.4,8ff9e3b3,9,3,412,78.8,0,e2befd26,13,8,801,89.5,3,Sassuolo,Sampdoria
2,2,1,2.1,2.0,421387cf,18,4,570,77.6,0,658bf2de,22,7,536,72.0,2,Genoa,Fiorentina
2,1,2,0.4,1.6,d609edc0,8,4,712,86.8,0,c4260e09,8,2,536,81.1,1,Cagliari,Inter
2,1,3,1.5,0.6,eab4234c,8,3,609,81.9,3,04eea015,21,10,635,83.3,0,Udinese,Parma
2,2,3,2.0,1.2,105360fe,11,5,486,73.0,3,922493f3,28,9,585,79.9,2,Atalanta,Torino
3,0,0,1.5,0.3,e0652b02,8,4,617,83.8,0,421387cf,18,6,551,80.3,0,Fiorentina,Juventus
3,2,0,1.3,1.7,8ff9e3b3,10,2,478,78.3,0,d48ad4ff,26,7,844,88.3,2,Napoli,Sampdoria
3,1,0,1.5,0.4,04eea015,6,5,476,79.4,0,d609edc0,22,8,798,85.8,1,Inter,Udinese
3,1,2,1.4,2.4,922493f3,17,4,512,80.7,1,658bf2de,14,2,519,75.9,0,Genoa,Atalanta
3,2,1,0.9,1.5,7213da33,11,4,647,85.5,0,1d2fe027,17,3,578,83.3,1,SPAL,Lazio
3,3,4,0.9,3.1,1d8099f8,20,7,691,82.4,3,4ef57aeb,9,6,406,66.3,3,Brescia,Bologna
3,1,3,1.2,0.7,c4260e09,9,3,451,71.5,1,eab4234c,20,7,531,77.1,1,Parma,Cagliari
3,4,2,2.3,1.3,e2befd26,13,3,621,87.6,1,cf74a709,15,6,582,83.5,4,Roma,Sassuolo
3,0,1,0.8,1.4,dc56fe14,16,3,758,87.7,0,0e72edf2,8,1,403,69.0,0,Hellas Verona,Milan
3,1,2,2.0,1.2,ffcbe334,19,5,494,78.0,0,105360fe,14,3,643,83.3,0,Torino,Lecce
4,3,1,1.5,1.4,658bf2de,11,2,650,80.4,1,c4260e09,14,4,512,74.0,1,Cagliari,Genoa
4,0,1,0.6,0.7,4ef57aeb,9,4,524,68.4,0,04eea015,10,3,637,74.8,0,Udinese,Brescia
4,2,1,2.0,1.3,0e72edf2,9,3,483,74.2,0,e0652b02,19,1,669,85.7,1,Juventus,Hellas Verona
4,0,2,0.9,2.0,d609edc0,16,7,605,82.7,2,dc56fe14,9,1,658,84.8,0,Milan,Inter
4,3,0,2.4,1.0,1d2fe027,13,3,550,83.5,0,e2befd26,20,6,645,88.5,3,Sassuolo,SPAL
4,1,4,1.3,2.8,d48ad4ff,20,9,788,89.3,1,ffcbe334,9,2,523,85.2,0,Lecce,Napoli
4,1,2,1.5,1.5,cf74a709,19,4,628,83.8,1,1d8099f8,5,2,468,77.4,0,Bologna,Roma
4,1,0,1.1,0.6,105360fe,5,1,658,78.4,0,8ff9e3b3,17,6,465,65.3,0,Sampdoria,Torino
4,2,2,0.9,1.0,421387cf,9,2,483,75.4,1,922493f3,19,3,732,83.8,1,Atalanta,Fiorentina
4,2,0,2.2,0.7,eab4234c,6,1,561,84.8,0,7213da33,25,9,825,89.0,2,Lazio,Parma
5,0,0,1.2,0.8,04eea015,11,3,519,68.6,0,0e72edf2,15,4,669,78.0,0,Hellas Verona,Udinese
5,1,2,0.9,1.6,e0652b02,19,5,858,88.8,0,4ef57aeb,17,3,480,75.1,1,Brescia,Juventus
5,0,2,1.7,2.2,922493f3,18,5,694,84.6,2,cf74a709,13,2,605,79.6,0,Roma,Atalanta
5,0,0,0.3,1.7,1d8099f8,17,1,601,81.9,0,658bf2de,7,2,449,70.8,0,Genoa,Bologna
5,1,3,1.0,2.0,ffcbe334,6,1,492,80.8,0,1d2fe027,17,6,619,83.6,1,SPAL,Lecce
5,0,1,2.2,0.3,c4260e09,5,1,492,77.3,1,d48ad4ff,30,5,802,86.6,0,Napoli,Cagliari
5,2,1,1.7,0.7,8ff9e3b3,8,2,537,77.9,0,421387cf,18,8,672,84.9,2,Fiorentina,Sampdoria
5,1,0,1.6,0.5,e2befd26,12,4,809,85.1,0,eab4234c,8,4,448,68.4,0,Parma,Sassuolo
5,1,0,1.5,1.2,7213da33,10,4,546,80.6,0,d609edc0,16,3,844,86.7,1,Inter,Lazio
5,2,1,1.4,2.1,dc56fe14,15,3,584,79.2,0,105360fe,10,4,528,74.0,1,Torino,Milan
6,2,0,2.0,0.2,1d2fe027,5,1,490,77.9,0,e0652b02,21,10,836,87.6,2,Juventus,SPAL
6,1,3,1.5,2.4,d609edc0,16,7,673,82.6,2,8ff9e3b3,20,2,586,81.0,1,Sampdoria,Inter
6,1,4,0.6,2.0,922493f3,14,7,685,83.2,3,e2befd26,13,7,721,85.5,1,Sassuolo,Atalanta
6,2,1,2.1,1.0,4ef57aeb,16,3,570,79.3,1,d48ad4ff,19,7,677,86.0,2,Napoli,Brescia
6,1,0,0.6,1.3,1d8099f8,12,3,611,82.3,0,04eea015,12,4,450,72.5,1,Udinese,Bologna
6,4,0,1.3,0.6,658bf2de,13,6,573,83.1,0,7213da33,15,9,675,87.8,4,Lazio,Genoa
6,0,1,0.9,2.3,cf74a709,18,5,695,86.2,1,ffcbe334,13,6,509,80.4,0,Lecce,Roma
