id,team_name,team_id,wins,draws,losses,goals_for,goals_against,xg_for,xg_against,xg_diff_per90
1,Real Madrid,53a2f082,21,8,3,60,21,55.1,25.0,+0.94
2,Barcelona,206d90db,21,7,5,74,35,57.0,32.6,+0.74
3,Atlético Madrid,db3b9613,15,14,4,43,25,45.7,27.1,+0.57
4,Sevilla,ad2be733,15,12,6,48,33,43.1,30.1,+0.40
5,Getafe,7848bd64,14,10,8,42,30,33.0,31.9,+0.04
6,Villarreal,2a8183b3,15,6,11,51,40,49.1,38.6,+0.33
7,Real Sociedad,e31d1cd9,14,5,13,48,41,41.0,36.6,+0.14
8,Valencia,dcc91a7b,12,10,10,41,46,34.3,47.2,-0.41
9,Athletic Club,2b390eca,11,12,9,36,28,35.2,37.3,-0.06
10,Granada,a0435291,12,7,13,38,38,33.5,35.1,-0.05
11,Osasuna,03c57e2b,10,11,11,38,47,40.2,41.4,-0.04
12,Levante,9800b6a1,12,5,15,41,46,36.6,52.9,-0.51
13,Betis,fc536746,9,10,13,43,52,41.0,43.2,-0.07
14,Valladolid,17859612,7,14,11,27,37,29.3,41.2,-0.37
15,Eibar,bea5c710,9,8,15,34,48,34.4,44.5,-0.32
16,Alavés,8d6fd021,9,8,15,32,48,33.4,44.0,-0.33
17,Celta Vigo,f25da7fb,7,13,13,32,42,35.3,38.7,-0.10
18,Mallorca,2aa12281,8,5,20,35,56,35.1,52.8,-0.53
19,Leganés,7c6f2c78,5,10,18,24,49,32.7,36.6,-0.12
20,Espanyol,a8661628,5,9,18,26,51,30.5,39.0,-0.27
