id,team_name,team_id,wins,draws,losses,goals_for,goals_against,xg_for,xg_against,xg_diff_per90
1,Liverpool,822bd0ba,30,2,2,75,26,64.6,36.5,+0.82
2,Manchester City,b8fd03ef,22,3,9,86,34,81.1,31.9,+1.45
3,Chelsea,cff3d9bb,18,6,10,63,46,60.9,34.4,+0.78
4,Leicester City,a2d435b3,17,8,9,64,32,54.3,40.9,+0.39
5,Manchester Utd,19538871,16,10,8,59,33,53.8,32.1,+0.64
6,Wolves,8cec06e1,13,13,8,45,37,42.5,30.7,+0.35
7,Sheffield Utd,1df6b87e,13,12,9,35,33,38.3,42.2,-0.11
8,Arsenal,18bb7c10,12,14,8,50,42,45.2,48.7,-0.10
9,Tottenham,361ca564,13,10,11,52,44,42.8,48.5,-0.17
10,Burnley,943e8050,14,7,13,38,46,37.7,43.7,-0.18
11,Everton,d3fd31cc,12,9,13,41,49,46.4,42.9,+0.10
12,Southampton,33c895d4,13,5,16,43,56,46.6,48.8,-0.06
13,Newcastle Utd,b2b47a98,11,10,13,35,50,30.2,53.0,-0.67
14,Crystal Palace,47c64c55,11,9,14,30,43,32.1,46.2,-0.42
15,Brighton,d07537b9,8,12,14,36,47,39.3,46.3,-0.21
16,West Ham,7c21e445,8,7,19,40,59,40.3,59.4,-0.56
17,Watford,2abfe087,7,10,17,31,53,37.6,51.0,-0.39
18,Bournemouth,4ba7cbea,7,7,20,32,59,37.1,51.3,-0.42
19,Aston Villa,8602292d,7,6,21,36,65,36.2,63.5,-0.80
20,Norwich City,1c781004,5,6,23,26,63,37.2,52.4,-0.45
