id,team_name,team_id,wins,draws,losses,goals_for,goals_against,xg_for,xg_against,xg_diff_per90
1,Juventus,e0652b02,23,3,3,59,25,53.4,28.5,+0.86
2,Lazio,7213da33,21,5,3,66,28,54.1,34.6,+0.67
3,Inter,d609edc0,19,7,3,62,29,57.1,32.0,+0.86
4,Atalanta,922493f3,18,6,5,82,39,68.5,32.3,+1.25
5,Roma,cf74a709,14,6,9,53,40,54.1,39.9,+0.49
6,Napoli,d48ad4ff,13,6,10,46,39,47.6,32.5,+0.52
7,Milan,dc56fe14,12,7,10,36,37,42.9,36.9,+0.21
8,Hellas Verona,0e72edf2,11,9,9,37,34,39.4,39.2,+0.01
9,Cagliari,c4260e09,10,9,10,48,45,34.7,43.9,-0.32
10,Parma,eab4234c,11,6,12,40,38,32.6,47.1,-0.50
11,Bologna,1d8099f8,10,8,11,41,46,44.0,38.5,+0.19
12,Sassuolo,e2befd26,10,7,12,51,50,42.6,51.6,-0.31
13,Torino,105360fe,9,4,16,33,52,31.7,51.2,-0.67
14,Fiorentina,421387cf,7,10,12,35,42,40.3,38.5,+0.06
15,Udinese,04eea015,8,7,14,25,41,32.4,42.7,-0.35
16,Sampdoria,8ff9e3b3,8,5,16,33,51,38.8,41.8,-0.10
17,Genoa,658bf2de,6,8,15,35,56,39.2,47.6,-0.29
18,Lecce,ffcbe334,6,7,16,36,66,36.3,67.2,-1.07
19,SPAL,1d2fe027,5,4,20,23,50,32.9,51.5,-0.64
20,Brescia,4ef57aeb,4,6,19,25,58,33.5,58.3,-0.85
